24,
1,acts_upstream_of_or_within_microsporocyte_differentiation
1,acts_upstream_of_or_within_lateral_root_development
2,acts_upstream_of_or_within_stomatal_complex_morphogenesis
1,involved_in_radial_pattern_formation
1,acts_upstream_of_or_within_positive_regulation_of_cell_differentiation
1,flowering
1,acts_upstream_of_or_within_cell_surface_receptor_signaling_pathway
1,acts_upstream_of_or_within_response_to_nitrate_starvation
1,acts_upstream_of_or_within_anther_development
2,acts_upstream_of_or_within_response_to_bacterium
1,acts_upstream_of_or_within_regulation_of_abscisic_acid_biosynthetic_process
1,acts_upstream_of_or_within_positive_regulation_of_secondary_growth
1,involved_in_cellular_response_to_nitric_oxide
13,involved_in_protein_phosphorylation
1,involved_in_guard_cell_differentiation
2,involved_in_response_to_molecule_of_bacterial_origin
1,involved_in_seed_development
1,acts_upstream_of_or_within_alternative_respiration
3,acts_upstream_of_or_within_seed_germination
1,involved_in_positive_regulation_of_defense_response_to_bacterium
1,acts_upstream_of_or_within_response_to_freezing
1,acts_upstream_of_or_within_negative_regulation_of_cell_division
1,acts_upstream_of_or_within_photoperiodism
2,acts_upstream_of_or_within_phenylpropanoid_metabolic_process
1,acts_upstream_of_or_within_cellular_water_homeostasis
1,involved_in_regulation_of_cell_growth
1,acts_upstream_of_or_within_xylem_and_phloem_pattern_formation
1,acts_upstream_of_or_within_leaf_formation
1,involved_in_negative_regulation_of_defense_response_to_insect
2,response_to_oxygen-containing_compound
1,acts_upstream_of_or_within_response_to_oxidative_stress
1,acts_upstream_of_or_within_mitochondrial_mRNA_modification
1,acts_upstream_of_or_within_defense_response
1,involved_in_transpiration
1,acts_upstream_of_or_within_epidermal_cell_differentiation
1,involved_in_maintenance_of_protein_location_in_nucleus
2,acts_upstream_of_or_within_gibberellin_metabolic_process
1,potassium_ion_import
2,acts_upstream_of_or_within_hyperosmotic_salinity_response
1,involved_in_positive_regulation_of_cell_growth
1,involved_in_endoplasmic_reticulum_membrane_organization
1,macromolecular_complex_subunit_organization
1,acts_upstream_of_or_within_regulation_of_plant_organ_morphogenesis
2,involved_in_response_to_cold
2,acts_upstream_of_or_within_floral_organ_development
1,jasmonic_acid_biosynthetic_process
1,has_protein_modification_of_type_protein_ubiquitination
1,acts_upstream_of_or_within_response_to_strigolactone
1,acts_upstream_of_or_within_phloem_transport
16,DNA-templated
1,involved_in_endoplasmic_reticulum-plasma_membrane_tethering
2,acts_upstream_of_or_within_systemic_acquired_resistance
1,primary_metabolic_process
1,organ_development
1,acts_upstream_of_or_within_regulation_of_growth_rate
1,acts_upstream_of_or_within_regulation_of_auxin_mediated_signaling_pathway
2,response_to_stress
1,acts_upstream_of_or_within_response_to_nutrient_levels
1,acts_upstream_of_or_within_gibberellin_biosynthetic_process
1,involved_in_response_to_freezing
1,acts_upstream_of_or_within_vernalization_response
1,involved_in_negative_regulation_of_defense_response_to_bacterium
1,acts_upstream_of_or_within_phloem_loading
1,acts_upstream_of_or_within_pollen_tube_guidance
1,involved_in_cellular_response_to_fatty_acid
1,involved_in_transcription
1,involved_in_innate_immune_response
1,acts_upstream_of_or_within_response_to_UV-B
2,acts_upstream_of_or_within_defense_response_to_virus
1,involved_in_lignin_metabolic_process
1,acts_upstream_of_or_within_plant_ovule_development
1,involved_in_fruit_development
6,acts_upstream_of_or_within_pollen_development
1,involved_in_regulation_of_transcription_by_RNA_polymerase_II
1,acts_upstream_of_or_within_endosperm_development
1,involved_in_cellular_response_to_potassium_ion_starvation
1,acts_upstream_of_or_within_regulation_of_seed_growth
1,acts_upstream_of_or_within_positive_regulation_of_cell_population_proliferation
1,acts_upstream_of_or_within_positive_regulation_of_innate_immune_response
1,acts_upstream_of_or_within_flower_development
1,acts_upstream_of_or_within_regulation_of_iron_ion_transport
1,involved_in_pollen_development
2,involved_in_response_to_osmotic_stress
1,acts_upstream_of_or_within_positive_regulation_of_defense_response
1,acts_upstream_of_or_within_response_to_cytokinin
1,acts_upstream_of_or_within_guard_cell_differentiation
1,stomatal_movement
1,involved_in_developmental_process
1,involved_in_stomatal_complex_formation
1,acts_upstream_of_or_within_developmental_process
1,acts_upstream_of_or_within_microgametogenesis
1,acts_upstream_of_or_within_response_to_zinc_ion
1,acts_upstream_of_or_within_root_cap_development
1,involved_in_negative_regulation_of_histone_H3-K27_methylation
1,involved_in_gibberellin_biosynthetic_process
1,acts_upstream_of_or_within_DNA_methylation
2,signal_transduction
1,acts_upstream_of_or_within_cold_acclimation
1,calcium-mediated_signaling
3,acts_upstream_of_or_within_unidimensional_cell_growth
1,acts_upstream_of_or_within_cellular_response_to_abscisic_acid_stimulus
2,involved_in_response_to_bacterium
2,involved_in_response_to_salicylic_acid
1,acts_upstream_of_or_within_detection_of_ethylene_stimulus
1,acts_upstream_of_or_within_simple_leaf_morphogenesis
1,involved_in_regulation_of_lignin_biosynthetic_process
1,acts_upstream_of_or_within_defense_response_to_other_organism
1,involved_in_regulation_of_antifungal_innate_immune_response
1,acts_upstream_of_or_within_positive_regulation_of_cell_death
1,involved_in_regulation_of_auxin_polar_transport
2,single-organism_process
2,response_to_acid_chemical
1,involved_in_nitrate_import
1,involved_in_positive_regulation_of_seed_germination
1,involved_in_regulation_of_flower_development
1,response_to_transition_metal_nanoparticle
1,acts_upstream_of_or_within_response_to_oomycetes
1,acts_upstream_of_or_within_response_to_light_stimulus
2,acts_upstream_of_or_within_jasmonic_acid_and_ethylene-dependent_systemic_resistance
1,acts_upstream_of_or_within_lignin_metabolic_process
1,involved_in_response_to_hydrogen_peroxide
7,acts_upstream_of_or_within_defense_response_to_fungus
1,involved_in_response_to_auxin
1,acts_upstream_of_or_within_response_to_iron_ion
3,involved_in_response_to_salt_stress
1,involved_in_guard_cell_fate_commitment
1,cellular_response_to_chitin
2,acts_upstream_of_or_within_regulation_of_meristem_growth
1,acts_upstream_of_or_within_protein_phosphorylation
5,single-organism_cellular_process
1,defense_response
1,response_to_nutrient
1,innate_immune_response
1,involved_in_regulation_of_defense_response_to_oomycetes
1,involved_in_maintenance_of_root_meristem_identity
1,acts_upstream_of_or_within_response_to_far_red_light
1,involved_in_response_to_molecule_of_fungal_origin
4,has_protein_modification_of_type_protein_phosphorylation
1,acts_upstream_of_or_within_ethylene_biosynthetic_process
1,acts_upstream_of_or_within_regulation_of_cell_size
1,involved_in_regulation_of_cellular_response_to_alkaline_pH
1,acts_upstream_of_or_within_response_to_cadmium_ion
1,acts_upstream_of_or_within_flavonol_biosynthetic_process
1,acts_upstream_of_or_within_circadian_rhythm
1,single-organism_metabolic_process
1,mannosylation
1,involved_in_regulation_of_root_development
1,acts_upstream_of_or_within_defense_response_to_Gram-negative_bacterium
1,involved_in_plant-type_cell_wall_organization
1,involved_in_root_hair_elongation
1,acts_upstream_of_or_within_positive_regulation_of_abscisic_acid_biosynthetic_process
1,acts_upstream_of_or_within_PAMP-triggered_immunity_signalling_pathway
2,acts_upstream_of_or_within_innate_immune_response
2,acts_upstream_of_or_within_cellular_response_to_water_deprivation
1,acts_upstream_of_or_within_seed_morphogenesis
2,acts_upstream_of_or_within_root_development
